game_name,proxy_gpu_names,passmark_gpu_names,proxy_avg_tdp,proxy_avg_psu,proxy_avg_score,proxy_avg_score_per_watt,passmark_avg_tdp,passmark_avg_psu,passmark_avg_score,passmark_avg_score_per_watt,overlap_at_k,overlap_rate
Sega Rally Revo,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck OLED GPU, Steam Deck GPU","Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, RTX PRO 4000 Blackwell SFF",25.8,200.0,0.18829905326020285,0.007241723240126198,36.8,250.0,12842.877,367.88142345610123,2,0.4
Sekiro: Shadows Die Twice,"Radeon RX 7400, L4, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX PRO 2000 Blackwell","RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX PRO 2000 Blackwell, RTX 3500 Embedded Ada Generation, Radeon RX 7400",65.0,240.0,0.3104649009076362,0.0049540253613073485,70.6,250.0,15240.458,215.55623476432726,4,0.8
Sengoku,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck GPU, Steam Deck OLED GPU","Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, RTX PRO 4000 Blackwell SFF",25.8,200.0,0.18829905326020285,0.007241723240126198,36.8,250.0,12842.877,367.88142345610123,2,0.4
Sengoku Jidai: Shadow of the Shogun,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck GPU, Steam Deck OLED GPU","Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, RTX PRO 4000 Blackwell SFF",25.8,200.0,0.18829905326020285,0.007241723240126198,36.8,250.0,12842.877,367.88142345610123,2,0.4
Senran Kagura Shinovi Versus,"Radeon RX 7400, L4, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX PRO 2000 Blackwell","RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX PRO 2000 Blackwell, RTX 3500 Embedded Ada Generation, RTX 2000 Ada Generation",65.0,240.0,0.3104649009076362,0.0049540253613073485,76.0,260.0,16219.87,215.9572332589286,3,0.6
Sentinels of Freedom,"Radeon RX 7400, L4, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX PRO 2000 Blackwell","RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX PRO 2000 Blackwell, RTX 3500 Embedded Ada Generation, Radeon RX 7400",65.0,240.0,0.3104649009076362,0.0049540253613073485,70.6,250.0,15240.458,215.55623476432726,4,0.8
Senua's Saga: Hellblade II,"L4, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, Tesla T4G, Tesla T4","RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX 3500 Embedded Ada Generation, RTX 4000 Ada Generation, RTX PRO 4000 Blackwell",70.4,250.0,0.2999873386297131,0.004256660868164173,102.0,280.0,18786.932,197.63224849759615,2,0.4
Seraph,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, L4, RTX PRO 4000 Blackwell SFF","Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, RTX PRO 4000 Blackwell SFF, RTX 4000 SFF Ada Generation, RTX PRO 2000 Blackwell",48.2,233.33333333333334,0.28653587847369844,0.006454428103330241,53.2,250.0,15026.078,321.3067438616071,3,0.6
Serena,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck OLED GPU, Steam Deck GPU","Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, RTX PRO 4000 Blackwell SFF",25.8,200.0,0.18829905326020285,0.007241723240126198,36.8,250.0,12842.877,367.88142345610123,2,0.4
Serial Cleaner,"Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Radeon RX 7400, Steam Deck OLED GPU, Steam Deck GPU","Ryzen AI Z2 Extreme GPU, Ryzen Z2 Extreme GPU, Ryzen Z2 GPU, Ryzen Z1 Extreme GPU, RTX PRO 4000 Blackwell SFF",25.8,200.0,0.18829905326020285,0.007241723240126198,36.8,250.0,12842.877,367.88142345610123,2,0.4
